ID,Hand,XPos,YPos,ZPos,Time
sample123,Left,-0.7460033,1.413202,-0.02685783,19.04802
sample123,Right,-0.3699087,0.3921117,0.1621416,19.04802
sample123,Left,-0.7442237,1.418292,-0.02596646,19.09129
sample123,Right,-0.3699087,0.3921117,0.1621416,19.09129
sample123,Left,-0.7431421,1.428093,-0.02152282,19.13305
sample123,Right,-0.3699087,0.3921117,0.1621416,19.13305
sample123,Left,-0.7444773,1.45305,-0.01437802,19.19706
sample123,Right,-0.3699087,0.3921117,0.1621416,19.19706
sample123,Left,-0.7435305,1.492769,-0.006500141,19.26349
sample123,Right,-0.3699087,0.3921117,0.1621416,19.26349
sample123,Left,-0.7376939,1.543269,-0.002980615,19.32737
sample123,Right,-0.3699087,0.3921117,0.1621416,19.32737
sample123,Left,-0.7360186,1.566699,0.0013568,19.39448
sample123,Right,-0.3699087,0.3921117,0.1621416,19.39448
sample123,Left,-0.7511414,1.542929,0.01129457,19.46196
sample123,Right,-0.3699087,0.3921117,0.1621416,19.46196
sample123,Left,-0.752819,1.541644,0.004657048,19.52795
sample123,Right,-0.3699087,0.3921117,0.1621416,19.52795
sample123,Left,-0.733771,1.570508,0.002034619,19.59568
sample123,Right,-0.3699087,0.3921117,0.1621416,19.59568
sample123,Left,-0.7491207,1.539434,0.01011051,19.6624
sample123,Right,-0.3699087,0.3921117,0.1621416,19.6624
sample123,Left,-0.739233,1.551084,-0.001354146,19.72993
sample123,Right,-0.3699087,0.3921117,0.1621416,19.72993
sample123,Left,-0.7182379,1.583104,-0.002950616,19.79667
sample123,Right,-0.3699087,0.3921117,0.1621416,19.79667
sample123,Left,-0.741356,1.545938,0.005214913,19.86435
sample123,Right,-0.3699087,0.3921117,0.1621416,19.86435
sample123,Left,-0.7535004,1.52685,-0.002987322,19.9304
sample123,Right,-0.3699087,0.3921117,0.1621416,19.9304
sample123,Left,-0.7275506,1.574418,-0.006090652,19.99939
sample123,Right,-0.3699087,0.3921117,0.1621416,19.99939
sample123,Left,-0.7461296,1.558205,-0.001096416,20.06429
sample123,Right,-0.3699087,0.3921117,0.1621416,20.06429
sample123,Left,-0.770539,1.523395,0.002727636,20.13144
sample123,Right,-0.3699087,0.3921117,0.1621416,20.13144
sample123,Left,-0.7517886,1.556641,-0.007612131,20.19925
sample123,Right,-0.3699087,0.3921117,0.1621416,20.19925
sample123,Left,-0.7538772,1.554275,-0.02459778,20.26597
sample123,Right,-0.3699087,0.3921117,0.1621416,20.26597
sample123,Left,-0.7588204,1.530349,-0.05342444,20.33359
sample123,Right,-0.3699087,0.3921117,0.1621416,20.33359
sample123,Left,-0.7531215,1.491879,-0.101229,20.40028
sample123,Right,-0.3699087,0.3921117,0.1621416,20.40028
sample123,Left,-0.7206177,1.452043,-0.1603169,20.46678
sample123,Right,-0.3699087,0.3921117,0.1621416,20.46678
sample123,Left,-0.6650739,1.428617,-0.2203393,20.53344
sample123,Right,-0.3699087,0.3921117,0.1621416,20.53344
sample123,Left,-0.6126438,1.41155,-0.2746984,20.60016
sample123,Right,-0.3699087,0.3921117,0.1621416,20.60016
sample123,Left,-0.5631821,1.400142,-0.3223307,20.66728
sample123,Right,-0.3699087,0.3921117,0.1621416,20.66728
sample123,Left,-0.5245382,1.401786,-0.3504878,20.73463
sample123,Right,-0.3699087,0.3921117,0.1621416,20.73463
sample123,Left,-0.50072,1.41558,-0.365546,20.80145
sample123,Right,-0.3699087,0.3921117,0.1621416,20.80145
sample123,Left,-0.4868664,1.425125,-0.3764998,20.87033
sample123,Right,-0.3699087,0.3921117,0.1621416,20.87033
sample123,Left,-0.4828108,1.440099,-0.3876589,20.95625
