ID,Hand,XPos,YPos,ZPos,Time
testid,Right,-0.4388832,1.507571,0.3048123,24.93272
testid,Left,-0.2611243,1.055195,0.1165748,24.96149
testid,Right,-0.4490706,1.509676,0.3063841,24.96149
testid,Left,-0.2628897,1.054844,0.113701,24.9937
testid,Right,-0.4618514,1.514656,0.3085486,24.9937
testid,Left,-0.265635,1.055124,0.1111021,25.02637
testid,Right,-0.4743404,1.518678,0.308901,25.02637
testid,Left,-0.2687382,1.05582,0.1090125,25.05958
testid,Right,-0.4867851,1.521189,0.3087194,25.05958
testid,Left,-0.2731868,1.058107,0.1070928,25.11619
testid,Right,-0.5048265,1.52485,0.3087633,25.11619
testid,Left,-0.2761322,1.060291,0.1056191,25.1571
testid,Right,-0.5179976,1.526489,0.3105546,25.1571
testid,Left,-0.277391,1.06185,0.1045451,25.18798
testid,Right,-0.527325,1.52593,0.3118868,25.18798
testid,Left,-0.2779669,1.062251,0.1028168,25.23059
testid,Right,-0.5359091,1.524632,0.3129954,25.23059
testid,Left,-0.2782143,1.061704,0.1010235,25.26265
testid,Right,-0.5437998,1.524655,0.3152256,25.26265
testid,Left,-0.2782579,1.060394,0.09895701,25.29488
testid,Right,-0.5505934,1.524584,0.3180836,25.29488
testid,Left,-0.2782931,1.056459,0.09473459,25.35026
testid,Right,-0.5601182,1.524512,0.3208271,25.35026
testid,Left,-0.2786572,1.050002,0.08753289,25.41467
testid,Right,-0.5725834,1.523169,0.3253109,25.41467
testid,Left,-0.2790481,1.046749,0.0845281,25.46824
testid,Right,-0.5802549,1.522584,0.3275099,25.46824
testid,Left,-0.279338,1.045482,0.08364888,25.49997
testid,Right,-0.5844558,1.522237,0.3282798,25.49997
testid,Left,-0.2794603,1.044077,0.08215646,25.52927
testid,Right,-0.5900471,1.52139,0.3303069,25.52927
testid,Left,-0.280031,1.04301,0.08149006,25.56166
testid,Right,-0.5957175,1.520867,0.3319911,25.56166
testid,Left,-0.2807905,1.042664,0.08166055,25.59225
testid,Right,-0.6004195,1.520748,0.333549,25.59225
testid,Left,-0.2814099,1.043455,0.08317405,25.63643
testid,Right,-0.6042825,1.520594,0.3341865,25.63643
testid,Left,-0.2822039,1.043807,0.08442394,25.66693
testid,Right,-0.6049349,1.520656,0.3342376,25.66693
testid,Left,-0.2834753,1.044297,0.0870256,25.69906
testid,Right,-0.6024997,1.520708,0.3341146,25.69906
testid,Left,-0.2846013,1.044538,0.0907362,25.73022
